image_index,image_name,sigma,psnr_sure,ssim_sure,time_sure,psnr_energy,ssim_energy,time_energy
25,0024.png,50,24.4666,0.657655,90.52,24.5806,0.652556,89.26
26,0025.png,10,32.7241,0.909262,78.70,33.3737,0.919027,78.01
26,0025.png,30,27.0972,0.792036,84.87,27.4218,0.804047,83.73
26,0025.png,50,24.8902,0.731081,90.68,25.1255,0.736133,89.24
27,0026.png,10,30.7671,0.939379,78.12,31.5020,0.943205,76.33
27,0026.png,30,24.6633,0.819228,84.26,24.8593,0.821067,83.22
27,0026.png,50,21.7872,0.685026,90.03,21.9395,0.659928,88.85
28,0027.png,10,30.9727,0.915969,77.94,31.6885,0.923810,76.83
28,0027.png,30,25.2567,0.714675,84.32,25.4420,0.727490,83.23
28,0027.png,50,22.7115,0.586506,90.15,22.6995,0.575016,88.83
29,0028.png,10,33.4250,0.941110,78.06,33.6843,0.941165,77.20
29,0028.png,30,27.1349,0.809836,84.37,27.0726,0.804537,83.21
29,0028.png,50,24.0560,0.686689,90.15,24.1746,0.689732,89.04
30,0029.png,10,32.9628,0.936779,78.08,33.2719,0.938226,76.99
30,0029.png,30,27.0560,0.805181,84.37,26.9673,0.791867,83.30
30,0029.png,50,24.3692,0.704308,90.26,24.0264,0.639965,88.86
31,0030.png,10,33.1229,0.961897,78.41,34.2416,0.966016,76.79
31,0030.png,30,27.8891,0.867274,84.70,28.0833,0.875092,83.49
31,0030.png,50,25.1691,0.783929,90.33,25.2069,0.785470,89.21
32,0031.png,10,33.9261,0.910313,78.26,34.1181,0.913640,77.38
32,0031.png,30,28.2399,0.766449,84.83,28.2194,0.766120,83.56
32,0031.png,50,25.9140,0.673072,90.76,25.6665,0.662850,89.29
33,0032.png,10,36.4611,0.929993,78.93,36.5673,0.930584,78.13
33,0032.png,30,31.1094,0.843668,85.20,30.6812,0.816082,83.88
33,0032.png,50,29.4654,0.806921,90.78,25.9757,0.466259,89.25
34,0033.png,10,29.3569,0.943474,78.28,30.0877,0.949442,77.21
34,0033.png,30,22.4417,0.720291,84.41,22.9803,0.757452,83.50
34,0033.png,50,19.7535,0.532574,90.26,20.5215,0.605901,88.97
35,0034.png,10,33.9307,0.909172,78.19,33.9460,0.906143,77.14
35,0034.png,30,27.9418,0.725694,84.70,27.8714,0.721910,83.61
35,0034.png,50,25.7058,0.636148,90.56,25.5233,0.630254,89.80
36,0035.png,10,28.6481,0.931190,78.48,29.7622,0.939959,77.24
36,0035.png,30,22.6828,0.679403,84.68,23.0651,0.718746,83.63
36,0035.png,50,19.3880,0.360471,90.39,20.3010,0.480105,89.16
37,0036.png,10,30.5936,0.928492,78.14,31.5514,0.935903,77.24
37,0036.png,30,24.7297,0.699029,84.66,25.0841,0.726487,83.37
37,0036.png,50,22.0656,0.514093,90.45,22.0106,0.507500,89.13
38,0037.png,10,32.1519,0.955199,78.49,32.8916,0.958266,77.52
38,0037.png,30,26.2661,0.844735,84.76,26.5577,0.857607,83.61
38,0037.png,50,23.6284,0.738179,90.85,24.0828,0.762990,89.09
39,0038.png,10,36.3414,0.907132,78.41,36.4035,0.909778,77.54
39,0038.png,30,32.1750,0.848184,84.79,31.8831,0.843955,83.65
39,0038.png,50,29.7934,0.806767,90.70,29.4034,0.803084,89.50
40,0039.png,10,29.7809,0.740864,79.12,30.9199,0.798465,78.12
40,0039.png,30,26.6884,0.465818,85.33,26.7936,0.471771,84.10
40,0039.png,50,26.0920,0.443057,90.73,26.0944,0.443166,89.64
41,0040.png,10,31.6948,0.900777,78.47,32.5582,0.907643,77.50
41,0040.png,30,26.7244,0.670619,85.05,26.9892,0.688012,83.68
41,0040.png,50,25.4320,0.616146,90.47,25.3304,0.612238,89.29
42,0041.png,10,33.2909,0.910883,78.15,33.5268,0.913034,77.30
42,0041.png,30,27.0619,0.689452,84.61,27.1070,0.691743,83.66
42,0041.png,50,24.8818,0.577099,90.46,24.7476,0.571159,89.20
43,0042.png,10,37.8837,0.961787,78.30,37.6724,0.959379,77.19
